"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 05, 2023","22,428.3","22,347.1","22,636.7","22,213.5","160.57K","0.36%"
"Mar 04, 2023","22,347.1","22,354.7","22,403.7","22,167.4","123.93K","-0.03%"
"Mar 03, 2023","22,354.4","23,465.6","23,473.4","22,051.9","344.63K","-4.73%"
"Mar 02, 2023","23,465.4","23,642.2","23,780.5","23,208.7","249.26K","-0.75%"
"Mar 01, 2023","23,642.2","23,130.6","23,914.1","23,025.3","328.77K","2.21%"
"Feb 28, 2023","23,130.5","23,494.0","23,595.0","23,033.8","275.10K","-1.55%"
"Feb 27, 2023","23,494.1","23,558.7","23,876.2","23,166.8","297.65K","-0.27%"
"Feb 26, 2023","23,558.7","23,166.1","23,671.8","23,066.0","209.12K","1.69%"
"Feb 25, 2023","23,166.1","23,191.3","23,215.3","22,777.4","198.35K","-0.11%"
"Feb 24, 2023","23,191.5","23,936.4","24,123.4","22,970.3","367.99K","-3.11%"
"Feb 23, 2023","23,936.3","24,186.6","24,590.4","23,637.9","417.46K","-1.03%"
"Feb 22, 2023","24,186.6","24,450.7","24,474.3","23,593.4","400.24K","-1.08%"
"Feb 21, 2023","24,450.7","24,839.5","25,236.8","24,160.8","395.97K","-1.57%"
"Feb 20, 2023","24,839.5","24,302.8","25,085.4","23,868.6","363.02K","2.21%"
"Feb 19, 2023","24,302.9","24,631.3","25,175.2","24,273.7","312.64K","-1.33%"
"Feb 18, 2023","24,631.4","24,573.5","24,838.9","24,457.0","223.77K","0.24%"
"Feb 17, 2023","24,573.5","23,538.2","24,984.7","23,373.0","523.85K","4.39%"
"Feb 16, 2023","23,539.6","24,328.1","25,233.8","23,525.9","484.50K","-3.24%"
"Feb 15, 2023","24,327.9","22,198.5","24,330.9","22,050.8","401.53K","9.59%"
"Feb 14, 2023","22,198.5","21,776.9","22,308.6","21,556.2","378.39K","1.96%"
"Feb 13, 2023","21,772.6","21,782.7","21,887.5","21,418.7","312.04K","-0.07%"
"Feb 12, 2023","21,786.8","21,859.9","22,080.7","21,653.1","211.65K","-0.33%"
"Feb 11, 2023","21,859.8","21,627.4","21,902.9","21,605.3","182.07K","1.04%"
"Feb 10, 2023","21,635.0","21,792.5","21,933.6","21,491.7","352.79K","-0.72%"
"Feb 09, 2023","21,792.5","22,964.6","23,003.6","21,744.6","425.44K","-5.10%"
"Feb 08, 2023","22,964.6","23,251.7","23,425.1","22,691.7","289.12K","-1.23%"
"Feb 07, 2023","23,251.7","22,761.8","23,338.8","22,748.2","318.98K","2.15%"
"Feb 06, 2023","22,761.8","22,936.0","23,130.6","22,633.7","278.58K","-0.76%"
"Feb 05, 2023","22,936.0","23,326.9","23,423.4","22,766.5","217.26K","-1.66%"
"Feb 04, 2023","23,323.8","23,431.2","23,571.8","23,269.8","170.27K","-0.46%"
"Feb 03, 2023","23,431.2","23,429.1","23,694.1","23,233.8","349.36K","0.02%"
"Feb 02, 2023","23,427.6","23,726.2","24,207.2","23,398.1","382.86K","-1.26%"
"Feb 01, 2023","23,725.6","23,124.7","23,784.5","22,809.6","333.18K","2.60%"
"Jan 31, 2023","23,125.1","22,832.2","23,262.9","22,724.9","289.38K","1.28%"
"Jan 30, 2023","22,832.2","23,746.0","23,794.0","22,560.0","339.62K","-3.88%"
"Jan 29, 2023","23,753.1","23,023.5","23,952.9","22,973.3","320.86K","3.15%"
"Jan 28, 2023","23,027.9","23,074.6","23,182.3","22,889.8","156.96K","-0.20%"
"Jan 27, 2023","23,074.6","23,016.0","23,480.3","22,602.9","310.36K","0.25%"
"Jan 26, 2023","23,016.0","23,055.2","23,259.5","22,869.0","320.97K","-0.17%"
"Jan 25, 2023","23,055.1","22,632.5","23,779.0","22,366.3","388.18K","1.87%"
"Jan 24, 2023","22,632.5","22,916.3","23,156.1","22,517.1","334.17K","-1.23%"
"Jan 23, 2023","22,915.5","22,709.0","23,161.8","22,527.9","327.85K","0.91%"
"Jan 22, 2023","22,707.8","22,775.7","23,068.7","22,323.0","280.64K","-0.30%"
"Jan 21, 2023","22,775.7","22,677.5","23,304.5","22,461.1","382.69K","0.43%"
"Jan 20, 2023","22,677.2","21,074.9","22,718.5","20,879.3","373.74K","7.57%"
"Jan 19, 2023","21,081.2","20,670.6","21,169.4","20,669.7","275.76K","1.99%"
"Jan 18, 2023","20,670.6","21,137.1","21,584.1","20,448.3","388.67K","-2.21%"
"Jan 17, 2023","21,137.1","21,184.4","21,506.4","20,926.2","310.04K","-0.22%"
"Jan 16, 2023","21,184.2","20,880.1","21,416.8","20,698.9","337.46K","1.46%"
"Jan 15, 2023","20,879.8","20,956.0","21,032.2","20,585.7","205.80K","-0.37%"
"Jan 14, 2023","20,958.2","19,926.9","21,185.6","19,898.6","458.21K","5.17%"
"Jan 13, 2023","19,927.0","18,850.8","19,981.6","18,723.8","426.67K","5.71%"
"Jan 12, 2023","18,851.3","17,941.0","19,055.3","17,915.5","522.01K","5.07%"
"Jan 11, 2023","17,942.3","17,440.5","17,989.8","17,323.9","291.53K","2.89%"
"Jan 10, 2023","17,439.1","17,180.1","17,491.0","17,151.7","247.14K","1.51%"
"Jan 09, 2023","17,180.1","17,119.0","17,390.8","17,107.1","301.24K","0.36%"
"Jan 08, 2023","17,119.0","16,943.6","17,119.0","16,913.8","144.84K","1.04%"
"Jan 07, 2023","16,943.6","16,950.9","16,979.6","16,909.7","110.48K","-0.04%"
"Jan 06, 2023","16,950.9","16,829.8","17,012.3","16,707.6","233.47K","0.72%"
"Jan 05, 2023","16,829.8","16,852.2","16,877.9","16,772.3","178.96K","-0.13%"
